ID,¿En que Ciudad o Municipio resides?,¿Qué edad tienes?,¿Comparas precios al momento de realizar una compra?,¿Cuántas opciones revisas?,¿Realizas compras por internet y-o plataformas digitales?,Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia,¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,¿ A través de que dispositivos realizas las compras por internet?
11,Barranquilla,27,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Portatil
12,Codazzi - Cesar,22,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
13,Galapa ,20,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
14,SOLEDAD,25,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
15,Barranquilla,25,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
16,Barranquilla,25,Si,4 a 8,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Precio,Portatil
18,Bogotá ,28,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Precio,Computador de mesa 
19,Barranquilla,25,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Computador de mesa 
20,Barranquilla,20,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
22,BARRANQUILLA,26,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
23,Barranquilla,27,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Portatil
24,Barranquilla,28,Si,4 a 8,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Precio,Computador de mesa 
25,Barranquilla,23,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Portatil
26,Barranquilla,24,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
27,Barranquilla,50,Si,2 a 4,Si,Precio-Distancia - Tiempo de Domicilio-Calidad-,Servicios a domicilio a través de plataforma digital,Precio,Smartphone
28,Bogotá,22,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
29,Barranquilla,45,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Portatil
30,Bogotá ,33,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
31,Barranquilla ,47,Si,4 a 8,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
32,Medellín ,25,Si,2 a 4,Si,Calidad-Distancia - Tiempo de Domicilio-Precio-,Presencial en el punto de venta,,Smartphone
33,Bogotá,29,Si,2 a 4,Si,Calidad-Distancia - Tiempo de Domicilio-Precio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
34,Santa Marta,46,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
35,Soledad,47,Si,4 a 8,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Portatil
36,Medellín,22,Si,2 a 4,Si,Distancia - Tiempo de Domicilio-Precio-Calidad-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
37,Barranquilla ,47,Si,4 a 8,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
38,Barranquilla,27,Si,2 a 4,Si,Calidad-Precio-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de llamada telefónica ,,Smartphone
39,Madrid- Cundinamarca,31,No,,Si,Calidad-Distancia - Tiempo de Domicilio-Precio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
40,Soledad Atlántico,20,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Presencial en el punto de venta,,Smartphone
41,Riohacha ,32,Si,2 a 4,Si,Precio-Calidad-Distancia - Tiempo de Domicilio-,Servicios a domicilio a través de plataforma digital,Distancia - tiempo del domicilio ,Smartphone
