ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Total de puntos,Comentarios del cuestionario,¿En que Ciudad o Municipio resides?,Puntos: ¿En que Ciudad o Municipio resides?,Comentarios: ¿En que Ciudad o Municipio resides?,¿Qué edad tienes?,Puntos: ¿Qué edad tienes?,Comentarios: ¿Qué edad tienes?,Sexo,Puntos: Sexo,Comentarios: Sexo,¿Comparas precios al momento de realizar una compra?,Puntos: ¿Comparas precios al momento de realizar una compra?,Comentarios: ¿Comparas precios al momento de realizar una compra?,¿Cuántas opciones revisas?,Puntos: ¿Cuántas opciones revisas?,Comentarios: ¿Cuántas opciones revisas?,¿Realizas compras por internet y/o plataformas digitales?,Puntos: ¿Realizas compras por internet y/o plataformas digitales?,Comentarios: ¿Realizas compras por internet y/o plataformas digitales?,¿ Cuales son las razones ?,Puntos: ¿ Cuales son las razones ?,Comentarios: ¿ Cuales son las razones ?,Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Puntos: Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Comentarios: Ordena por orden de importancia los  factores más relevante al momento de realizar la compra final a través de una plataforma digital,Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,Puntos: Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,Comentarios: Usualmente- porque medio adquiere sus productos farmacéuticos en tiempo de pandemia.,¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,Puntos: ¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,Comentarios: ¿Cuál de estos factores es más relevante al momento de realizar la compra final de productos farmacéuticos  a través de una plataforma digital?,¿ A través de que dispositivos realizas las compras por internet?,Puntos: ¿ A través de que dispositivos realizas las compras por internet?,Comentarios: ¿ A través de que dispositivos realizas las compras por internet?
21,5/21/21 17:06:07,5/21/21 17:07:41,anonymous,,,,Bogotá,,,37,,,,,,Si,,,2 a 4,,,No,,,Otros;,,,,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
44,5/21/21 17:17:58,5/21/21 17:18:55,anonymous,,,,Bogota,,,35,,,,,,Si,,,2 a 4,,,No,,,Desconfianza a proporcionar sus datos personales. ;,,,,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
49,5/21/21 17:25:24,5/21/21 17:26:18,anonymous,,,,Barranquilla,,,24,,,,,,Si,,,2 a 4,,,No,,,Otros;,,,,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
69,5/21/21 18:50:21,5/21/21 18:51:43,anonymous,,,,Soledad,,,43,,,,,,Si,,,2 a 4,,,No,,,Desconfianza a proporcionar sus datos personales. ;,,,,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Portatil.,,
71,5/21/21 18:56:24,5/21/21 18:57:56,anonymous,,,,Santa marta,,,51,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
72,5/21/21 19:01:37,5/21/21 19:02:16,anonymous,,,,Popayán,,,33,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Computador de mesa. ,,
73,5/21/21 19:09:19,5/21/21 19:10:21,anonymous,,,,Popayán ,,,25,,,,,,Si,,,4 a 8,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
74,5/21/21 19:35:30,5/21/21 19:36:12,anonymous,,,,Soledad,,,35,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
75,5/21/21 19:38:12,5/21/21 19:39:45,anonymous,,,,Barranquilla ,,,24,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
76,5/21/21 19:54:40,5/21/21 19:56:20,anonymous,,,,Soledad ,,,28,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
77,5/21/21 20:43:42,5/21/21 20:44:44,anonymous,,,,Cartagena,,,25,,,,,,Si,,,4 a 8,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
78,5/21/21 21:12:08,5/21/21 21:13:14,anonymous,,,,Barranquilla ,,,27,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Presencial en el punto de venta.,,,,,,Smartphone.,,
80,5/21/21 21:20:57,5/21/21 21:21:40,anonymous,,,,Barranquilla ,,,28,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Smartphone.,,
81,5/21/21 22:05:43,5/21/21 22:07:24,anonymous,,,,Barranquilla,,,31,,,,,,Si,,,2 a 4,,,Si,,,,,,Calidad;Precio.;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Computador de mesa. ,,
82,5/21/21 22:18:24,5/21/21 22:19:31,anonymous,,,,Atlantico,,,36,,,,,,Si,,,2 a 4,,,Si,,,,,,Distancia / Tiempo de Domicilio.;Precio.;Calidad;,,,Servicios a domicilio a través de plataforma digital.,,,Precio,,,Smartphone.,,
83,5/21/21 22:21:08,5/21/21 22:24:09,anonymous,,,,Barranquilla,,,25,,,,,,Si,,,2 a 4,,,Si,,,,,,Precio.;Calidad;Distancia / Tiempo de Domicilio.;,,,Servicios a domicilio a través de llamada telefónica. ,,,,,,Computador de mesa. ,,
